SE2 0.3
1 1 0
1.10488 1.05559 0.0125956
1.13817 1.16882 -0.00136629
1.17146 1.28204 -0.0153282
1.20475 1.39527 -0.02929
1.23805 1.5085 -0.0432519
1.27134 1.62172 -0.0572138
1.30463 1.73495 -0.0711757
1.33792 1.84817 -0.0851375
1.37121 1.9614 -0.0990994
1.37121 1.9614 -0.0990994
1.38743 1.97256 -0.128695
1.40364 1.98372 -0.15829
1.41986 1.99488 -0.187886
1.43607 2.00604 -0.217481
1.45229 2.0172 -0.247077
1.46851 2.02836 -0.276672
1.48472 2.03952 -0.306268
1.50094 2.05068 -0.335863
1.51715 2.06184 -0.365459
1.53337 2.073 -0.395054
1.54959 2.08416 -0.42465
1.5658 2.09532 -0.454245
1.58202 2.10648 -0.48384
1.59823 2.11764 -0.513436
1.65511 2.11351 -0.542244
1.71198 2.10939 -0.571052
1.76886 2.10526 -0.59986
1.82573 2.10114 -0.628668
1.88261 2.09701 -0.657476
1.93949 2.09289 -0.686284
1.99636 2.08876 -0.715092
2.05324 2.08464 -0.7439
2.09163 2.08595 -0.715476
2.13003 2.08727 -0.687053
2.16843 2.08859 -0.658629
2.20682 2.0899 -0.630206
2.22852 2.20259 -0.609723
2.25021 2.31528 -0.58924
2.2719 2.42797 -0.568757
2.29359 2.54066 -0.548274
2.34672 2.64783 -0.537511
2.39985 2.75501 -0.526747
2.45298 2.86218 -0.515984
2.50611 2.96935 -0.505221
2.55923 3.07652 -0.494458
2.61236 3.18369 -0.483695
2.59559 3.22164 -0.455561
2.57882 3.25959 -0.427426
2.56205 3.29754 -0.399292
2.54528 3.33548 -0.371158
2.52851 3.37343 -0.343024
2.51174 3.41138 -0.314889
2.49497 3.44933 -0.286755
2.4782 3.48728 -0.258621
2.46142 3.52522 -0.230487
2.44465 3.56317 -0.202353
2.42788 3.60112 -0.174218
2.41111 3.63907 -0.146084
2.39434 3.67701 -0.11795
2.37757 3.71496 -0.0898156
2.3608 3.75291 -0.0616814
2.34403 3.79086 -0.0335472
2.32726 3.8288 -0.00541293
2.31049 3.86675 0.0227213
2.33192 3.83511 -0.00610586
2.35336 3.80347 -0.034933
2.37479 3.77183 -0.0637602
2.30752 3.87116 -0.0738247
2.24024 3.97049 -0.0838892
2.17297 4.06982 -0.0939537
2.10569 4.16915 -0.104018
2.03842 4.26848 -0.114083
1.97114 4.36781 -0.124147
1.90387 4.46713 -0.134212
1.83659 4.56646 -0.144276
1.83659 4.56646 -0.144276
1.87836 4.61426 -0.171175
1.92013 4.66205 -0.198073
1.96189 4.70985 -0.224972
2.00366 4.75764 -0.251871
2.04543 4.80544 -0.278769
2.0872 4.85323 -0.305668
2.12896 4.90103 -0.332566
2.19564 4.99435 -0.35318
2.26231 5.08768 -0.373793
2.32899 5.181 -0.394406
2.39566 5.27432 -0.415019
2.46233 5.36765 -0.435633
2.52901 5.46097 -0.456246
2.59568 5.55429 -0.476859
2.66235 5.64761 -0.497472
2.6611 5.66474 -0.467292
2.65985 5.68186 -0.437111
2.6586 5.69898 -0.40693
2.65735 5.7161 -0.37675
2.6561 5.73322 -0.346569
2.65485 5.75035 -0.316388
2.6536 5.76747 -0.286208
2.65235 5.78459 -0.256027
2.6511 5.80171 -0.225846
2.64984 5.81884 -0.195666
2.64859 5.83596 -0.165485
2.64734 5.85308 -0.135304
2.64609 5.8702 -0.105123
2.64484 5.88732 -0.0749428
2.64359 5.90445 -0.0447621
2.64234 5.92157 -0.0145815
2.64109 5.93869 0.0155992
2.63984 5.95581 0.0457799
2.63859 5.97293 0.0759606
2.66825 6.05499 0.101455
2.69792 6.13704 0.126948
2.72759 6.2191 0.152442
2.75725 6.30115 0.177936
2.78692 6.38321 0.20343
2.81659 6.46526 0.228924
2.84625 6.54732 0.254418
2.87592 6.62937 0.279912
2.90559 6.71143 0.305406
2.93525 6.79348 0.3309
2.91225 6.80705 0.300984
2.88925 6.82063 0.271068
2.86625 6.8342 0.241152
2.84325 6.84778 0.211236
2.82024 6.86135 0.181319
2.79724 6.87492 0.151403
2.77424 6.8885 0.121487
2.75124 6.90207 0.0915709
2.72823 6.91564 0.0616548
2.70523 6.92922 0.0317386
2.68223 6.94279 0.00182248
2.65923 6.95636 -0.0280937
2.63622 6.96994 -0.0580098
2.61322 6.98351 -0.087926
2.59022 6.99709 -0.117842
2.56722 7.01066 -0.147758
2.54422 7.02423 -0.177674
2.65042 7.0696 -0.158652
2.75662 7.11497 -0.13963
2.86283 7.16034 -0.120608
2.96903 7.20571 -0.101586
3.0828 7.2502 -0.095896
3.19656 7.29469 -0.0902057
3.31032 7.33919 -0.0845153
3.42409 7.38368 -0.078825
3.53785 7.42817 -0.0731347
3.65162 7.47266 -0.0674444
3.76538 7.51715 -0.061754
3.87915 7.56165 -0.0560637
3.87915 7.56165 -0.0560637
3.99291 7.60614 -0.0503734
4.10667 7.65063 -0.044683
4.22044 7.69512 -0.0389927
4.3342 7.73961 -0.0333024
4.44797 7.78411 -0.027612
4.56173 7.8286 -0.0219217
4.67549 7.87309 -0.0162314
4.78926 7.91758 -0.010541
4.78926 7.91758 -0.010541
