SE2 0.3
0.6 3.6 0 
0.661721 3.55773 -0.00913687 
0.723443 3.51547 -0.0182737 
0.785164 3.4732 -0.0274106 
0.846886 3.43093 -0.0365475 
0.908607 3.38867 -0.0456844 
0.970328 3.3464 -0.0548212 
1.03205 3.30414 -0.0639581 
1.09377 3.26187 -0.073095 
1.15549 3.2196 -0.0822319 
1.21721 3.17734 -0.0913687 
1.27894 3.13507 -0.100506 
1.34066 3.0928 -0.109642 
1.40238 3.05054 -0.118779 
1.4641 3.00827 -0.127916 
1.52582 2.966 -0.137053 
1.58754 2.92374 -0.14619 
1.64926 2.88147 -0.155327 
1.71099 2.8392 -0.164464 
1.77271 2.79694 -0.173601 
1.83443 2.75467 -0.182737 
1.89615 2.71241 -0.191874 
1.95787 2.67014 -0.201011 
2.01959 2.62787 -0.210148 
2.08131 2.58561 -0.219285 
2.14304 2.54334 -0.228422 
2.20476 2.50107 -0.237559 
2.26648 2.45881 -0.246696 
2.32709 2.46523 -0.221846 
2.38771 2.47164 -0.196996 
2.44832 2.47806 -0.172146 
2.50894 2.48448 -0.147296 
2.56955 2.4909 -0.122447 
2.63017 2.49731 -0.0975968 
2.69078 2.50373 -0.072747 
2.75139 2.51015 -0.0478972 
2.81201 2.51657 -0.0230474 
2.87262 2.52299 0.00180239 
2.93324 2.5294 0.0266522 
2.99385 2.53582 0.051502 
3.05447 2.54224 0.0763518 
3.11508 2.54866 0.101202 
3.1757 2.55508 0.126051 
3.23631 2.56149 0.150901 
3.29693 2.56791 0.175751 
3.35754 2.57433 0.200601 
3.41816 2.58075 0.225451 
3.47877 2.58716 0.2503 
3.53939 2.59358 0.27515 
3.6 2.6 0.3 

